#syscall (v6.13.0 2025-01-23),x86,x86_kver,x86_64,x86_64_kver,x32,x32_kver,arm,arm_kver,aarch64,aarch64_kver,loongarch64,loongarch64_kver,m68k,m68k_kver,mips,mips_kver,mips64,mips64_kver,mips64n32,mips64n32_kver,parisc,parisc_kver,parisc64,parisc64_kver,ppc,ppc_kver,ppc64,ppc64_kver,riscv64,riscv64_kver,s390,s390_kver,s390x,s390x_kver,sh,sh_kver
cacheflush,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,983042,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,123,SCMP_KV_UNDEF,147,SCMP_KV_UNDEF,197,SCMP_KV_UNDEF,197,SCMP_KV_UNDEF,356,SCMP_KV_UNDEF,356,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,123,SCMP_KV_UNDEF
cachestat,451,SCMP_KV_UNDEF,451,SCMP_KV_UNDEF,451,SCMP_KV_UNDEF,451,SCMP_KV_UNDEF,451,SCMP_KV_UNDEF,451,SCMP_KV_UNDEF,451,SCMP_KV_UNDEF,451,SCMP_KV_UNDEF,451,SCMP_KV_UNDEF,451,SCMP_KV_UNDEF,451,SCMP_KV_UNDEF,451,SCMP_KV_UNDEF,451,SCMP_KV_UNDEF,451,SCMP_KV_UNDEF,451,SCMP_KV_UNDEF,451,SCMP_KV_UNDEF,451,SCMP_KV_UNDEF,451,SCMP_KV_UNDEF
capget,184,SCMP_KV_UNDEF,125,SCMP_KV_UNDEF,125,SCMP_KV_UNDEF,184,SCMP_KV_UNDEF,90,SCMP_KV_UNDEF,90,SCMP_KV_UNDEF,184,SCMP_KV_UNDEF,204,SCMP_KV_UNDEF,123,SCMP_KV_UNDEF,123,SCMP_KV_UNDEF,106,SCMP_KV_UNDEF,106,SCMP_KV_UNDEF,183,SCMP_KV_UNDEF,183,SCMP_KV_UNDEF,90,SCMP_KV_UNDEF,184,SCMP_KV_UNDEF,184,SCMP_KV_UNDEF,184,SCMP_KV_UNDEF
capset,185,SCMP_KV_UNDEF,126,SCMP_KV_UNDEF,126,SCMP_KV_UNDEF,185,SCMP_KV_UNDEF,91,SCMP_KV_UNDEF,91,SCMP_KV_UNDEF,185,SCMP_KV_UNDEF,205,SCMP_KV_UNDEF,124,SCMP_KV_UNDEF,124,SCMP_KV_UNDEF,107,SCMP_KV_UNDEF,107,SCMP_KV_UNDEF,184,SCMP_KV_UNDEF,184,SCMP_KV_UNDEF,91,SCMP_KV_UNDEF,185,SCMP_KV_UNDEF,185,SCMP_KV_UNDEF,185,SCMP_KV_UNDEF
chdir,12,SCMP_KV_UNDEF,80,SCMP_KV_UNDEF,80,SCMP_KV_UNDEF,12,SCMP_KV_UNDEF,49,SCMP_KV_UNDEF,49,SCMP_KV_UNDEF,12,SCMP_KV_UNDEF,12,SCMP_KV_UNDEF,78,SCMP_KV_UNDEF,78,SCMP_KV_UNDEF,12,SCMP_KV_UNDEF,12,SCMP_KV_UNDEF,12,SCMP_KV_UNDEF,12,SCMP_KV_UNDEF,49,SCMP_KV_UNDEF,12,SCMP_KV_UNDEF,12,SCMP_KV_UNDEF,12,SCMP_KV_UNDEF
chmod,15,SCMP_KV_UNDEF,90,SCMP_KV_UNDEF,90,SCMP_KV_UNDEF,15,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,15,SCMP_KV_UNDEF,15,SCMP_KV_UNDEF,88,SCMP_KV_UNDEF,88,SCMP_KV_UNDEF,15,SCMP_KV_UNDEF,15,SCMP_KV_UNDEF,15,SCMP_KV_UNDEF,15,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,15,SCMP_KV_UNDEF,15,SCMP_KV_UNDEF,15,SCMP_KV_UNDEF
chown,182,SCMP_KV_UNDEF,92,SCMP_KV_UNDEF,92,SCMP_KV_UNDEF,182,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,16,SCMP_KV_UNDEF,202,SCMP_KV_UNDEF,90,SCMP_KV_UNDEF,90,SCMP_KV_UNDEF,180,SCMP_KV_UNDEF,180,SCMP_KV_UNDEF,181,SCMP_KV_UNDEF,181,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,182,SCMP_KV_UNDEF,212,SCMP_KV_UNDEF,182,SCMP_KV_UNDEF
chown32,212,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,212,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,198,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,212,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,212,SCMP_KV_UNDEF
chroot,61,SCMP_KV_UNDEF,161,SCMP_KV_UNDEF,161,SCMP_KV_UNDEF,61,SCMP_KV_UNDEF,51,SCMP_KV_UNDEF,51,SCMP_KV_UNDEF,61,SCMP_KV_UNDEF,61,SCMP_KV_UNDEF,156,SCMP_KV_UNDEF,156,SCMP_KV_UNDEF,61,SCMP_KV_UNDEF,61,SCMP_KV_UNDEF,61,SCMP_KV_UNDEF,61,SCMP_KV_UNDEF,51,SCMP_KV_UNDEF,61,SCMP_KV_UNDEF,61,SCMP_KV_UNDEF,61,SCMP_KV_UNDEF
clock_adjtime,343,SCMP_KV_UNDEF,305,SCMP_KV_UNDEF,305,SCMP_KV_UNDEF,372,SCMP_KV_UNDEF,266,SCMP_KV_UNDEF,266,SCMP_KV_UNDEF,342,SCMP_KV_UNDEF,341,SCMP_KV_UNDEF,300,SCMP_KV_UNDEF,305,SCMP_KV_UNDEF,324,SCMP_KV_UNDEF,324,SCMP_KV_UNDEF,347,SCMP_KV_UNDEF,347,SCMP_KV_UNDEF,266,SCMP_KV_UNDEF,337,SCMP_KV_UNDEF,337,SCMP_KV_UNDEF,361,SCMP_KV_UNDEF
